FREQ,REF_AREA,DATA_TYPE_AGGR,VALUATION,ADJUSTMENT,EDITION,TIME_PERIOD,OBS_VALUE
A,ITC4A,D21X31_C_W2_S1,V,N,2025M1,2021,1355.0
A,ITC4A,D21X31_C_W2_S1,V,N,2025M1,2022,1364.0
A,ITC4B,B1G_B_W2_S1,V,N,2025M1,2021,12140.0
A,ITC4B,B1G_B_W2_S1,V,N,2025M1,2022,13270.0
A,ITC4B,B1GQ_B_W2_S1,V,N,2025M1,2021,13621.0
A,ITC4B,B1GQ_B_W2_S1,V,N,2025M1,2022,14797.0
A,ITC4B,D21X31_C_W2_S1,V,N,2025M1,2021,1481.0
A,ITC4B,D21X31_C_W2_S1,V,N,2025M1,2022,1528.0
A,ITCD,B1G_B_W2_S1,V,N,2025M1,2021,930841.6
A,ITCD,B1G_B_W2_S1,V,N,2025M1,2022,1008455.2
A,ITCD,B1G_B_W2_S1,V,N,2025M1,2023,1078106.9
A,ITCD,B1GQ_B_W2_S1,V,N,2025M1,2021,1043784.8
A,ITCD,B1GQ_B_W2_S1,V,N,2025M1,2022,1123869.8
A,ITCD,B1GQ_B_W2_S1,V,N,2025M1,2023,1201129.4
A,ITCD,D21X31_C_W2_S1,V,N,2025M1,2021,112943.2
A,ITCD,D21X31_C_W2_S1,V,N,2025M1,2022,115414.6
A,ITCD,D21X31_C_W2_S1,V,N,2025M1,2023,123022.5
A,ITCDE,B1G_B_W2_S1,V,N,2025M1,2021,1279015.2
A,ITCDE,B1G_B_W2_S1,V,N,2025M1,2022,1393496.3
A,ITCDE,B1G_B_W2_S1,V,N,2025M1,2023,1483521.5
A,ITCDE,B1GQ_B_W2_S1,V,N,2025M1,2021,1434146.1
A,ITCDE,B1GQ_B_W2_S1,V,N,2025M1,2022,1552979.7
A,ITCDE,B1GQ_B_W2_S1,V,N,2025M1,2023,1653403.2
A,ITCDE,D21X31_C_W2_S1,V,N,2025M1,2021,155130.9
A,ITCDE,D21X31_C_W2_S1,V,N,2025M1,2022,159483.4
A,ITCDE,D21X31_C_W2_S1,V,N,2025M1,2023,169881.7
A,ITD,B1G_B_W2_S1,V,N,2025M1,2021,381552.6
A,ITD,B1G_B_W2_S1,V,N,2025M1,2022,413683.5
A,ITD,B1G_B_W2_S1,V,N,2025M1,2023,441626.0
A,ITD,B1GQ_B_W2_S1,V,N,2025M1,2021,427780.6
A,ITD,B1GQ_B_W2_S1,V,N,2025M1,2022,461043.8
A,ITD,B1GQ_B_W2_S1,V,N,2025M1,2023,492066.9
A,ITD,D21X31_C_W2_S1,V,N,2025M1,2021,46227.9
A,ITD,D21X31_C_W2_S1,V,N,2025M1,2022,47360.3
A,ITD,D21X31_C_W2_S1,V,N,2025M1,2023,50440.9
A,ITD1,B1G_B_W2_S1,V,N,2025M1,2021,23741.8
A,ITD1,B1G_B_W2_S1,V,N,2025M1,2022,26795.1
A,ITD1,B1G_B_W2_S1,V,N,2025M1,2023,28746.6
A,ITD1,B1GQ_B_W2_S1,V,N,2025M1,2021,26649.1
A,ITD1,B1GQ_B_W2_S1,V,N,2025M1,2022,29882.3
A,ITD1,B1GQ_B_W2_S1,V,N,2025M1,2023,32044.4
A,ITD1,D21X31_C_W2_S1,V,N,2025M1,2021,2907.3
A,ITD1,D21X31_C_W2_S1,V,N,2025M1,2022,3087.2
A,ITD1,D21X31_C_W2_S1,V,N,2025M1,2023,3297.8
A,ITD10,B1G_B_W2_S1,V,N,2025M1,2021,23742.0
A,ITD10,B1G_B_W2_S1,V,N,2025M1,2022,26795.0
A,ITD10,B1GQ_B_W2_S1,V,N,2025M1,2021,26661.0
A,ITD10,B1GQ_B_W2_S1,V,N,2025M1,2022,29882.0
A,ITD10,D21X31_C_W2_S1,V,N,2025M1,2021,2919.0
A,ITD10,D21X31_C_W2_S1,V,N,2025M1,2022,3087.0
A,ITD2,B1G_B_W2_S1,V,N,2025M1,2021,19057.5
A,ITD2,B1G_B_W2_S1,V,N,2025M1,2022,21342.7
A,ITD2,B1G_B_W2_S1,V,N,2025M1,2023,22623.8
A,ITD2,B1GQ_B_W2_S1,V,N,2025M1,2021,21394.5
A,ITD2,B1GQ_B_W2_S1,V,N,2025M1,2022,23794.5
A,ITD2,B1GQ_B_W2_S1,V,N,2025M1,2023,25227.9
A,ITD2,D21X31_C_W2_S1,V,N,2025M1,2021,2337.0
A,ITD2,D21X31_C_W2_S1,V,N,2025M1,2022,2451.8
A,ITD2,D21X31_C_W2_S1,V,N,2025M1,2023,2604.1
A,ITD20,B1G_B_W2_S1,V,N,2025M1,2021,19058.0
A,ITD20,B1G_B_W2_S1,V,N,2025M1,2022,21343.0
A,ITD20,B1GQ_B_W2_S1,V,N,2025M1,2021,21391.0
A,ITD20,B1GQ_B_W2_S1,V,N,2025M1,2022,23794.0
A,ITD20,D21X31_C_W2_S1,V,N,2025M1,2021,2333.0
A,ITD20,D21X31_C_W2_S1,V,N,2025M1,2022,2452.0
A,ITD3,B1G_B_W2_S1,V,N,2025M1,2021,151724.8
A,ITD3,B1G_B_W2_S1,V,N,2025M1,2022,165225.9
A,ITD3,B1G_B_W2_S1,V,N,2025M1,2023,176947.1
A,ITD3,B1GQ_B_W2_S1,V,N,2025M1,2021,170111.8
A,ITD3,B1GQ_B_W2_S1,V,N,2025M1,2022,184143.4
A,ITD3,B1GQ_B_W2_S1,V,N,2025M1,2023,197135.8
A,ITD3,D21X31_C_W2_S1,V,N,2025M1,2021,18387.0
A,ITD3,D21X31_C_W2_S1,V,N,2025M1,2022,18917.6
A,ITD3,D21X31_C_W2_S1,V,N,2025M1,2023,20188.7
A,ITD31,B1G_B_W2_S1,V,N,2025M1,2021,29404.0
A,ITD31,B1G_B_W2_S1,V,N,2025M1,2022,32304.0
A,ITD31,B1GQ_B_W2_S1,V,N,2025M1,2021,32965.0
A,ITD31,B1GQ_B_W2_S1,V,N,2025M1,2022,36003.0
A,ITD31,D21X31_C_W2_S1,V,N,2025M1,2021,3562.0
A,ITD31,D21X31_C_W2_S1,V,N,2025M1,2022,3699.0
A,ITD32,B1G_B_W2_S1,V,N,2025M1,2021,28337.0
A,ITD32,B1G_B_W2_S1,V,N,2025M1,2022,30641.0
A,ITD32,B1GQ_B_W2_S1,V,N,2025M1,2021,31770.0
A,ITD32,B1GQ_B_W2_S1,V,N,2025M1,2022,34149.0
A,ITD32,D21X31_C_W2_S1,V,N,2025M1,2021,3433.0
A,ITD32,D21X31_C_W2_S1,V,N,2025M1,2022,3508.0
A,ITD33,B1G_B_W2_S1,V,N,2025M1,2021,6015.0
A,ITD33,B1G_B_W2_S1,V,N,2025M1,2022,6658.0
A,ITD33,B1GQ_B_W2_S1,V,N,2025M1,2021,6743.0
A,ITD33,B1GQ_B_W2_S1,V,N,2025M1,2022,7420.0
A,ITD33,D21X31_C_W2_S1,V,N,2025M1,2021,729.0
A,ITD33,D21X31_C_W2_S1,V,N,2025M1,2022,762.0
A,ITD34,B1G_B_W2_S1,V,N,2025M1,2021,28149.0
A,ITD34,B1G_B_W2_S1,V,N,2025M1,2022,30133.0
A,ITD34,B1GQ_B_W2_S1,V,N,2025M1,2021,31559.0
A,ITD34,B1GQ_B_W2_S1,V,N,2025M1,2022,33583.0
A,ITD34,D21X31_C_W2_S1,V,N,2025M1,2021,3410.0
A,ITD34,D21X31_C_W2_S1,V,N,2025M1,2022,3450.0
A,ITD35,B1G_B_W2_S1,V,N,2025M1,2021,23834.0
A,ITD35,B1G_B_W2_S1,V,N,2025M1,2022,26838.0
A,ITD35,B1GQ_B_W2_S1,V,N,2025M1,2021,26721.0
A,ITD35,B1GQ_B_W2_S1,V,N,2025M1,2022,29911.0
A,ITD35,D21X31_C_W2_S1,V,N,2025M1,2021,2887.0
A,ITD35,D21X31_C_W2_S1,V,N,2025M1,2022,3073.0
A,ITD36,B1G_B_W2_S1,V,N,2025M1,2021,30281.0
A,ITD36,B1G_B_W2_S1,V,N,2025M1,2022,32631.0
A,ITD36,B1GQ_B_W2_S1,V,N,2025M1,2021,33948.0
A,ITD36,B1GQ_B_W2_S1,V,N,2025M1,2022,36368.0
A,ITD36,D21X31_C_W2_S1,V,N,2025M1,2021,3668.0
A,ITD36,D21X31_C_W2_S1,V,N,2025M1,2022,3736.0
A,ITD37,B1G_B_W2_S1,V,N,2025M1,2021,5706.0
A,ITD37,B1G_B_W2_S1,V,N,2025M1,2022,6021.0
A,ITD37,B1GQ_B_W2_S1,V,N,2025M1,2021,6397.0
A,ITD37,B1GQ_B_W2_S1,V,N,2025M1,2022,6711.0
A,ITD37,D21X31_C_W2_S1,V,N,2025M1,2021,691.0
A,ITD37,D21X31_C_W2_S1,V,N,2025M1,2022,689.0
